## DECISION (576)
KEY                                                                 TIER   N  IN  DATE        MESSAGE
vertex-view-contract                                    mid     3   0  2026-03-25  resolved · Dissolved by loop-as-runtime. The view contract is per-loop, not per-vertex. Ticks, source facts, ref graphs are loop concerns. FoldState organized by loop.
store-audit-reconstruction                              mid     2   1  2026-03-25  resolved · Dissolves under loop-as-runtime. Store audit was needed because vertex-level scoping was wrong. With loop as the routing level, stores just hold facts at a point. The audit target shifts to ensuring loops are correctly declared, not that stores are correctly scoped.
vertex-complete-contract                                mid     2   1  2026-03-25  resolved · Dissolved by architecture/loop-as-runtime. The five-dissolution cascade was solving real problems but attaching solutions to the wrong primitive. Vertex nesting, vertex operations, vertex scoping all dissolve when loop becomes the runtime. The vertex is a convergence loop with a store.
emit-supersession-semantics                             mid     2   1  2026-04-25  resolved · Answered by precedent rather than design. Supersession was used twice in practice without ambiguity: design/ping-as-attention-signal → design/cite-as-attention-signal (vocabulary rename), architecture/vertex-as-complete-contract → architecture/loop-as-runtime (architectural pivot). Both work cleanly. Behavioral answer: superseded_by=kind/key is a payload convention; the fold honors it by resolving to a ULID ref. Not a first-class fold operation, just a payload field with consistent semantics.
cross-machine-vertex-visibility                         mid     3   0  2026-06-12  parked · Parked at reconcile 2026-06-12 — gated on sqlmerge remote transport landing; the three loops-side concerns (cursor mgmt, config distribution, lens-composition-not-shared-write) reactivate then.
system-prompt-emission-encoding                         mid     3   0  2026-06-12  parked · Parked at reconcile 2026-06-12 — partially superseded by the two-register identity lens work (design/voice-two-register-rendering); the three-layer framing remains good prior art for the next identity-lens session.
receipt-as-corpus-experiments                           mid     1   2  2026-05-10  open · Queued: three competing hypotheses about how receipts cluster in fold space - cluster-near-referents, form-meta-cluster, split-by-content-density. Plus dynamic-lean-vs-static-priming. Harness exists (coupling-kernels.vertex), proof-of-loop closed via bug-find cascade last session. Next: pick one as first run, treat receipt store as corpus, apply structure-reveal pipeline.
deliberation-depth-lens                                 mid     2   1  2026-05-11  resolved · Resolved: lens built vertex-local at experiments/coupling-kernels/lenses/deliberation_depth.py. Two-part depth metric (n_within + n_incoming_query_run_refs) works on existing data — no emit-discipline change needed for v1. Live test on 7 hypotheses produced 1 flag (find-richness-scale-drops-ratio). Surprise: surfaces low-experimental-deliberation broadly, not just overfit specifically — TYPE A (bug-discovery confirmations) and TYPE B (first-test overfit) both flag, agent classifies. Limitations noted in docstring: doesn't trace hypothesis→hypothesis replication chains (emit_hypothesis() doesn't accept refs yet — precondition gap captured at design/deliberation-depth-via-incoming-refs).
key-and-lens-kwargs-access-primitives                   mid     3   0  2026-05-15  resolved · RESOLVED 2026-05-15: shipped in v0.3.1 (commits f3492b2 + 57d547e + 65ea07b + d43fd79; release at github.com/kgruel/strange-loops/releases/tag/v0.3.1; PyPI strange-loops==0.3.1). --key prefix filter (kind-aware via existing fold-key spec, prefix matching with full-key-as-degenerate-prefix), --kind kind/key embedded syntax now also prefix-matches (back-compat preserved), call_lens_fetch using inspect.signature for safe lens-kwargs dispatch with TypeError-from-lens-body propagation. Smoke verified against real project store: --key design/lens narrows to 8 design/lens-* decisions, --kind thread --key key- honors name-keyed fold field, --kind decision/atoms (embedded back-compat) returns 5 items. ~90 LOC + 10 new tests + 1029 loops + 3961 lib tests green, zero regressions, no goldens drifted. CLI surface for arbitrary lens-declared flags (--context, --severity) deferred — call_lens_fetch infrastructure ready; CLI dispatch restructuring needed to do advisor-recommended strict-mode (lens resolution before arg parsing, error on truly unknown flags). Lower priority post-InferioMinion-migration-path: their guide kind moves to name=context/foo prefix, --key serves their case directly. --match hypothesis (project/namespace-as-mental-model-for-fold-keys) remains status=proposed pending observation of whether grep usage drops at InferioMinion's site after --key arrives.
bilateral-runbook-in-claudemd                           mid     2   1  2026-05-16  resolved · Runbook v1 committed to CLAUDE.md, file untracked from git. Bilateral protocol established: hard-stop discipline rule for Kyle (48h emission / 7d reconcile), emit-with-graph-fidelity practice, friction-as-fact-kind, correlation fields (feature=, ops=), expanded read-path traversal. cite-atrophy diagnosis was the trigger; runbook prevents that class of gap going forward.
trace-diff-rendering-shape                              mid     1   2  2026-05-16  open · Phase 4 design question surfaced by advisor pre-Phase-4 review. Original plan said --diff renders 'field-delta lines like status: open → refined' — that's CUMULATIVE diff (each fact framed against prior state). But DETAILED zoom already shows each fact's payload fields under that fact (per-fact 'patch view' — because fold-merge means the payload IS the patch). So the question is which shape --diff adds value over DETAILED. Two shapes:  (a) PER-FACT (already in DETAILED): each emit's payload-as-fields shown directly. Free, no replay needed. 'What did this emit say' — direct from store.    Example: fact 2 shows: status=refined, refs=A,B,C  (b) CUMULATIVE (advisor's reading of original plan): each fact framed against accumulated prior state. Needs replay-and-compare. 'What CHANGED from prior'.    Example: fact 2 shows: status: open → refined, refs: +C (added)  If (a) is the goal, --diff dissolves into DETAILED+ already exists. If (b) is the goal, --diff is its own thing — replay-and-compare logic, semantics for adds/removes on refs, omitted-fields handling. The lineage-view-missing friction wants (b) — 'the braid through resolution' is about deltas, not snapshots. Phase 4 should commit to (b) explicitly, OR document that (a) suffices and mark friction:lineage-view-missing partial-resolution. Picks up: this thread + sample of how a multi-fact lifecycle would render in each shape at SUMMARY/DETAILED zoom.
trace-in-session-hooks                                  mid     2   1  2026-05-16  resolved · RESOLVED 2026-05-16 (commit 917329a, pushed). ARCS block lands in session_start additionalContext. Top 2 multi-fact open/partial threads rendered as cumulative diff. Composes with existing TOUCHED block: TOUCHED carries current state, ARCS carries trajectory. Shell composition at .claude/hooks/arcs-block.py — no session_landing.py edit needed. Advisor caught the drift toward lens modification and forced the shell-composition path; right call. Pre-check on D (identity prompt) showed single-fact-per-topic pattern in identity observations — --diff has nothing to compress, walls of text. D parked at thread:trace-in-identity-prompt for design conversation with Kyle on the right shape (probably --refs on a specific topic, not all-of-practice). Real test of C is next session opening — accept that, don't recheck obsessively. Worth-noting: with this commit, the system_prompt of my next session will be assembled by a script I just wrote in this session, rendering data via a verb I just shipped. Builder-inhabitant recursion at one more layer.
cli-refactor-body-migrations                            mid     2   1  2026-05-17  resolved · RESOLVED 2026-05-17: Three-pass migration complete via subtask workers (sonnet/medium). Pass 1: deleted dead code, 1579→1031 LOC (commits 3083c18). Pass 2: four parallel workers migrated _run_stream, _run_ticks, _run_whoami, _run_store/_run_ls* to commands/ with re-exports, 1031→533 LOC (commits e5b49c3, 397dd3b, 83358d9, 7af3774). Pass 3: single worker drained remaining helpers to cli/lens.py + cli/help.py + commands/resolve.py additions, 533→63 LOC (commit 4ff364b). main.py is now a 63-line re-export surface + main() shim. 1118 tests passing. Next session: review pass.
vouch-deployment-substrate-constraint                   mid     2   1  2026-06-12  parked · Parked at reconcile 2026-06-12 (vouch consolidation): the enterprise arc lives in the agent-attestation vertex + the 5-doc package under team review. Loops-side umbrella is thread:peer-grant-recast-via-vouch — reopen from there when vouch usage surfaces what Peer/Grant need.
global-local-walk-broken                                mid     2   1  2026-06-09  resolved · RESOLVED 2026-06-09, same session as traced. Three behaviors unified to one: (1) add/rm/ls-vertex/store now resolve through _resolve_vertex_for_dispatch (the existing local-first resolver — the fix was a dissolution, commands just didn't use the primitive verbs already had); (2) mutating receipts print the full path written, ~-contracted (add.py/rm.py, 8 sites); (3) root ls renders two labelled groups — local (cwd, verbs resolve these first) then config — with a truncation-surviving '⊳ shadows config' marker; fetch_vertices_local was DEAD CODE (written, never wired, required a .loops/.vertex root that real repos lack) — rewired to mirror _find_local_vertex's locations. Tests: 10 new in test_resolution_local_first.py pinning the incident; declaration tests + TestRootLs gained cwd isolation (loops_env / chdir) after the live-vertex contamination incident (see observation). 1280 pass; only pre-existing failures remain (golden test_validate FULL fails on clean main; ruff E741/F401 pre-exist). Smoked via installed sl in tmp workspace: add hits local, receipt shows path, ls counts both layers. DELTA-2 UNBLOCKED: sl add project observer now writes the verification anchor into the custody context where key + store live.
config-population-cleanup                               mid     2   1  2026-06-12  resolved · RESOLVED 2026-06-12, same session as opened. Executed: (1) keep-set drawn — live core is exactly project, agent-attestation, comms/discord, comms/native, identity, session (+ external meta); Kyle archived all three ambiguous entries (siftd, orchestration, autoresearch). (2) 14 config dirs sealed+moved to ~/.config/loops/archive/ (9 stores sealed via identity-rebirth incl. siftd 10814 + claude-code 8126; feeds/reactions non-protocol kept as-is; 4 dbs found already lost; README.md indexes states). (3) Repo .loops: root.db, docs.db, autoresearch/, meta-discussion remnant → .loops/archive/. (4) Stale /private/tmp/d2-smoke combine ref removed from config project aggregator. (5) Signing era extended to full live core per ops/signing-era-full-live-core — all six stores verify signed. (6) Coherence: repo CLAUDE.md meta path corrected to ~/Code/meta-discussion; config CLAUDE.md vertex-count line updated. Safety: full pre-archive tarball at ~/loops-store-backups/retired-config-2026-06-12.tar.gz. Residue deliberately left: dev/check.vertex (declaration-only tooling, never ran), lenses/ bin/ (live tooling). sl ls now shows 6 local+config instances + 3 aggregations — the system IS the live core.
declare-observer-write-back                             mid     2   1  2026-06-28  resolved · RESOLVED (Kyle, 2026-06-27): print-not-write. --declare-observer prints the observers{} entry + location for the actor to apply; loops never mutates the .vertex. See design/declare-observer-print-not-write. The actor-model dissolution (B) won; the trust-registry entanglement (A) reinforced it (no auto-writing the key registry). Doc residue swept across 10 sites.
declaration-strata-portability                          mid     2   1  2026-07-02  resolved · Folded into loops-go SPEC.md (uncommitted draft): portability axis added as second column on the §9.2 stratum table; source-defined/source-retired split out of vertex-defined as an Ingress stratum (host-bound, provenance-only); normative no-auto-enact rule for transported host-bound declarations; normative secrets-indirection rule (redaction tier rejected — breaks §10.2/§10.3); §9.5 gains the vertex-identity framing (pattern/document/place; authority returns to the place) + KDL stratum-section grammar SHOULD; §10.1 totality claim now names three conferral residues (key custody, locator, ingress enactment).
tasked-bootstrap                                        mid     1   2  2026-07-16  open · M0+M1 shipped in one session (0b7506c, 15 tests green, live pulse verified): vertex-first contract at vertex/tasked.vertex, pipeline-as-data (methodology/node/agent/prompt seeded as facts by init), generic walker with one flat-string convention (hold re-enters previous node with findings, walker-stamped attempt= caps, _ts freshness, rulings reset caps), stage boundary gated on status=done+valid=true string match (pinned test = upstream tripwire for friction:boundary-prop-silent-match promotion), detached workers emit as walker/<agent> (attribution structural). Live loop closed: pulse escalated on real bug -> config fixed via sl emit tasked (substrate CLI is the config surface, app adds no config verbs) -> tasked resolve with ruling -> retry -> done, 2 signed linked ticks, horizon renders the store. NEXT (M2): claude adapter live run, worktree merge discipline, classify node, session-resume on re-review. RESIDUE: observer-key registry write-back pending; vertex file repo-relative (package-data at release); no cancel verb; substrate.py is the API-to-be (deletes when engine grows client handle - see loops friction:no-daemon-shaped-store-access).
release-070                                             mid     1   2  2026-07-17  resolved · strange-loops 0.7.0 shipped 2026-07-16. Pre-ceremony commits on main: 056dd5e (horizon total_unsealed distinct-fact union fix), 184dfce (read-router refuses temporal flags on fold route), be7755c (docstring 0.7.0->0.8.0 renumber sweep, incl. docs/CLI-CHEATSHEET.md caught by re-grep). Release commit 053ee87 (CHANGELOG stamp + pyproject version bump), tag v0.7.0. Gates: loops app 2020 passed/1 xfailed, atoms 418, engine 952, lang 540, sign 37, store 89, custody 13 (new lib, not in the skill's stale gate list -- ran it anyway), root ./dev check 8 passed. Wheel pre-flight green (sl --version, custody/engine.Receipt imports, live store read) -- no missing union dep (custody has zero third-party deps of its own). GitHub release https://github.com/kgruel/strange-loops/releases/tag/v0.7.0, workflow run 29554381323 succeeded in 20s. PyPI index showed 0.7.0 with no lag; fresh-venv install verified (sl --version + live sl read project). Local production sl reinstalled via uv tool install . -e --force. Deleted 4 fully-merged wave branches (feat/completion-prog-aliases, feat/completion-t3, feat/internal-table, feat/internal-table-hardening) local + origin remote (github ref also cleared via origin's multi-push). fix/discover-cascade untouched per design gate. CHANGELOG completeness sweep caught one real gap beyond the draft: the painted bump entry said '0.11 -> 0.12.1' but 0.6.0 shipped pinned <0.11, so the wave's own 6dd3f31 migration (render= -> renderer=(data,fidelity,width) contract, 19 run_cli sites) was the missing first hop -- corrected to '0.10.0 -> 0.12.1' with the renderer-contract detail folded in. Follow-up to report, not perform: /Users/kaygee/Code/tasked's floor-bump to >=0.7.0 (left untouched per constraint, has Kyle's uncommitted in-flight work). Rides 0.8.0: TUI shell + shared temporal cursor + Digest (the design wave ~4 sessions from code), fold-state-as-of (lifts the read-router refusal), rewound search index (vertex_search), --ontology-as-of unequal-cursors escape.
prometheus-alerts-to-loops                              mid     2   0  2026-03-09  parked · Parked — no active homelab alerting work. Revisit when hlab vertex gets real alert sources.
store-policy                                            mid     2   0  2026-03-09  parked · Design space placeholder — ephemeral stores, sliding windows, sampling. No concrete use case driving it. Revisit when a vertex needs retention policy.
boundary-reset                                          mid     2   0  2026-03-09  parked · DSL hardcodes reset=True. Non-resetting boundaries are a real concept but nothing needs them yet. Revisit when a fold accumulator needs to survive boundary fires.
sole-fold-override                                      mid     2   0  2026-03-09  parked · Convention-over-configuration for single-fold vertices. No active friction — explicit fold config is fine at current scale.
tick-provenance                                         mid     2   0  2026-03-09  resolved · Resolved by decision architecture/tick-provenance-scoping: tool-level scope from .vertex config, not per-tick kinds_consumed.
self-feeding-risk                                       mid     2   0  2026-03-07  resolved · Tracked in meta store as self-feeding-safeguards thread. Duplicate in project store not needed.
doc-provenance-ingestion                                mid     2   0  2026-03-09  parked · VOCABULARY.md/LOOPS.md dissolution provenance as store facts. Low priority when opened, no driving use case since. Revisit when store workflow patterns need historical provenance.
cli-json-input                                          mid     2   0  2026-03-06  parked · Parked: subsumed by cli-dissolution redesign (vertex-as-interface). Input format concerns follow from write-vertex design.
thread-auto-association                                 mid     2   0  2026-03-09  parked · Auto-associate facts emitted during an open thread's lifetime. Manual name= discipline works at current scale. Revisit if emit volume or thread count makes manual association impractical.
fact-drill-down                                         mid     2   0  2026-03-09  parked · Single-fact inspection dissolved into vertex-as-interface redesign. Detail views fall out of zoom levels on loops read. The old shape (loops show <id>) is subsumed.
module-path-lens-syntax                                 mid     2   0  2026-03-07  parked · Parked: still valid for installed-package lens references but no current use case. Will emerge naturally when apps need to expose lenses from their packages.
vertex-name-resolution-consistency                      mid     2   0  2026-03-09  resolved · Resolution unified. resolve_vertex used across emit, read, fold, stream, and dispatch. The three-strategies gap no longer exists.
root-vertex-topology                                    mid     2   0  2026-03-07  resolved · Resolved by vertex-topology-not-hierarchy decision. Vertices are addresses. Tree is one routing pattern, not the only topology. Combine and direct addressing coexist.
read-operation-contract                                 mid     2   0  2026-03-07  resolved · Resolved by read-is-pure and cli-verb-first decisions. Read is pure (no side effects), composable filters (--facts --ticks --kind --since), progressive unpacking.
format-dissolves-into-lens                              mid     2   0  2026-03-07  resolved · Format dissolution implemented. CliContext.format:Format → use_ansi:bool. JSON is pre-render short-circuit, ANSI/PLAIN collapsed to boolean. Thread opened when lens contract revealed Format never reached lenses. Closed by making the runtime match what lenses already knew.
observer-discoverability                                mid     2   0  2026-03-08  resolved · Resolved. whoami + LOOPS_OBSERVER env + launch script + hooks compose.
focus-on-cli-context                                    mid     2   0  2026-03-09  parked · Focus as explicit CliContext field. Three-way convergence produced the shape (budget→Zoom, context→Focus, explicit-not-ambient). Blocked on whether attention model produces new decisions or dissolves. Revisit when prompt lens parameterization becomes a real need.
cadence-gated-ux                                        mid     2   0  2026-03-09  resolved · SkippedSource dataclass carries last_run_ts and cadence_interval. Sync lens shows skip reason: fresh (last run 3m ago, cadence 10m).
sync-output-visibility                                  mid     2   0  2026-03-09  resolved · Sync now shows per-source fact counts and aggregation breakdown at all zoom levels.
intake-symmetry                                         mid     2   0  2026-03-09  resolved · Audit confirmed dissolution. Source adapter IS the intake escalation path. Asymmetry with output lenses is intentional: output is pure/composable (in-process tier search), input is stateful/domain-specific (subprocess). No action needed. If pattern emerges for shared parse functions, a Call ParseOp could mirror lens resolver.
emit-silent-failure                                     mid     2   0  2026-03-08  resolved · Fold-key warning implemented. _warn_missing_fold_key checks payload against vertex fold spec at emit time. Warns on stderr when kind folds 'by' a key field that's missing from the payload. Non-blocking (warning, not error). Follows combine chain to find actual fold declarations. 5 tests covering: missing name, missing topic, key present, collect fold, undeclared kind.
discord-source-poll-kind                                mid     2   0  2026-03-09  resolved · Dissolved into design/internal-fact-namespace. message.complete becomes _sync.message — no longer pollutes comms fold.
entity-reference-resolution                             mid     2   0  2026-03-09  resolved · Implemented. Entity addresses (kind/fold_key_value) in payload values are automatically resolved to ULIDs at emit time. Original field preserved, sibling {field}_ref added with pinned ULID. StoreReader.resolve_entity_id provides the query primitive. Five tests covering: resolution, nonexistent entities, undeclared kinds, slashed topics, dry-run.
daemon-local-orchestration                              mid     2   0  2026-03-10  resolved · Dissolved. Daemon is not needed. Boundary run clauses + external heartbeat (session hooks during work, cron between sessions) compose to produce the same behavior. The orchestration vertex is one-shot like everything else. The persistent runtime concept dissolved into: fold state as workflow state, boundaries as transition reactions, hooks/cron as trigger.
siftd-chunk-limit                                       mid     2   0  2026-03-19  parked · Still relevant for oversized assistant responses in ndjson parsing. May be addressed in siftd 0.5.0 work. Parking — not blocking current work.
siftd-investigation                                     mid     2   0  2026-03-19  resolved · Resolved. siftd topology fully understood: harness-specific child vertices (claude-code, aider, gemini-cli), aggregation root combining them. Per-harness parse, per-harness stores. Siftd-as-loops-native work completed across multiple subtasks. Investigation is done.
public-release-bootstrap                                mid     2   0  2026-03-19  parked · Original scope (config path rename, init defaults, bootstrap UX) overtaken by subsequent work. The CLI, init system, and vertex templates have all evolved significantly. Some items may be resolved. Needs fresh audit against current state when public release returns to focus.
store-missing-dependency                                mid     2   0  2026-03-19  parked · pyproject.toml dependency declaration. May have been fixed in subsequent work. Needs verification.
autoresearch/emit-path-results                          mid     2   0  2026-03-15  resolved · Reviewed results: 7.81ms to 1.1ms. Fixed store-projection layer violation. Both branches squash-merged to main.
cross-loop-condition-ref                                mid     2   0  2026-03-19  parked · Real architectural gap (boundary conditions referencing other loops). Not blocking — init-time substitution handles current cases. Parked until orchestration patterns need runtime-adjustable iteration limits.
live-mode-default                                       mid     2   0  2026-03-19  resolved · Set default_mode=OutputMode.STATIC for fold reads. --live is now explicit opt-in. Fixed the ctrl+c issue.
autoresearch-start-flow-redesign                        mid     2   0  2026-03-17  resolved · Dissolved. Autoresearch is a vertex program using BOUNDED AGENT TURNS. No standalone start flow — loops init creates vertex + seeds config, boundary run clause handles iteration. The iterate script is a minimal run clause target, not an orchestration system. Start is: init vertex, emit first experiment fact to kick the chain.
xml-output-format                                       mid     2   0  2026-03-19  parked · Feature request. --xml alongside --json and --plain. Useful for agent-facing output. Not urgent.
sdk-opportunities                                       mid     2   0  2026-03-19  parked · Accumulator thread. No new instances discovered recently. Parking until next SDK pain point surfaces.
autoresearch-emit-compliance                            mid     2   0  2026-03-19  resolved · Fixed vertex path resolution in prompt lens — agents now emit findings, logs, and ideas during iterations. 4 iterations ran successfully with rich fact emission. Root cause was lens emitting vertex declaration name instead of resolvable path.
autoresearch-agent-review                               mid     2   0  2026-03-19  resolved · Agents now emit supporting facts and produce committed optimizations. 4 iterations: 91.4ms→52.3ms (43% improvement). Agent behavior validated through dashboard and TUI drill-down. Earlier issues (no emits, hanging) resolved by prompt fixes and iterate.sh robustness.
autoresearch-iterate-robustness                         mid     2   0  2026-03-19  resolved · iterate.sh now handles: agent crash (non-zero exit → status=crash), checks gate (optional CHECKS script → status=checks_failed), multi-metric capture (all KEY=VALUE lines from benchmark), and clean separation of agent invocation from benchmark. Status semantics: keep/discard/crash/checks_failed.
autoresearch-dashboard-live                             mid     2   0  2026-03-19  resolved · Built dashboard lens with in-progress detection, side-by-side panels, word-wrapped two-column layout, and interactive TUI with iteration drill-down. Dashboard shows all sections at every zoom level. Live indicator via timestamp comparison. TUI auto-refreshes every 2s.
velocity-of-ideas                                       mid     2   0  2026-04-25  resolved · Resolved by paradigm/tick-as-weighted-fact. Window density (touched-items-per-window, kind compression ratios) is now a property of the Tick primitive itself — TickWindow carries delta_added/delta_updated/kind_compression. Velocity is density-over-time, captured at the primitive layer rather than as a separate concept.
autoresearch-as-vertex                                  mid     2   0  2026-03-25  resolved · Reframed by loop-as-runtime. Autoresearch is a loop, not a vertex. Experiment facts, fold by name, boundary on experiment close. Lives at a vertex point but the runtime is the loop.
autoresearch-branch-discipline                          mid     2   0  2026-06-12  parked · Parked at reconcile 2026-06-12 — real but no near-term pull. Reopen on live need.
structured-cite-for-comms                               mid     2   0  2026-06-12  parked · Parked at reconcile 2026-06-12 — real but no near-term pull. Reopen on live need.
umwelt-as-paradigm-frame                                mid     2   0  2026-06-12  parked · Parked at reconcile 2026-06-12 — real but no near-term pull. Reopen on live need.
daemon-as-new-lib                                       mid     1   1  2026-04-28  parked · Surfaced 2026-04-27 as the operational consequence of paradigm/boundary-as-watcher-triple: drivers as first-class need a host that runs continuously. The daemon isn't 'just a new lib' — it's the operational layer the conceptual work has been implying. What it dissolves (compounding gains): uv-install-on-every-emit (thin clients hit a socket, daemon eats install cost once); vertex program cache (load once, fold in memory, replay never re-runs per emit; per-fact cost ms not seconds); notify/wake substrate (something has to be alive to receive wakes — the daemon is that something); cross-process boundary deduplication (single fire-decider, no race on evaluate_boundaries catchup); sync further attenuation (cadence drivers run continuously in daemon; CLI 'loops sync' becomes 'fire all due cadences now' debug affordance); streaming subscription model becomes natural; today's dispatcher injection carries forward unchanged — dispatcher lives in daemon, fires subprocesses from daemon's process tree. What goes in the lib: process lifecycle (start/stop/status, foreground/background), transport (UDS for v1, length-prefixed JSON), protocol (fact-emit, query, subscribe, fire-driver, list-vertices), vertex registry, driver host loop, dispatcher with subprocess lifecycle, optional event bus for subscribers. What stays where: engine still owns Vertex/Loop/VertexProgram/drivers as primitives — no daemon awareness; atoms unchanged; apps/loops CLI grows thin-client mode (if daemon up, send fact over socket; otherwise direct path). Naming candidates: hearth (always-on warmth, where loops live), keep (preservation + fortified position), roost (where things settle), tend (caretaker), pulse (driver heartbeat), weave (multi-driver coordination), host (accurate but generic). Lean: hearth or keep. Considerations — subprocess management (zombie reaping, output handling), hot reload (defer to v2), single-instance enforcement (PID file or socket-binding), daemon-as-observer (emits own start/stop/dispatched-runs/error facts; same observer-as-vertex pattern), migration path (opt-in initially, fall back to direct if daemon absent — same code two paths). Prior art Kyle flagged for UX mining: siftd (operational persistence patterns, daemon already exists and survives sessions), the recorder lib (just-built, has patterns relevant here), lldap-invite (UX pattern source). Rich-in-refs note: this thread sits at the convergence of comms-vertex-real-time, uv-install-on-every-emit, manual-tick-emission, loop-as-primitive, the dispatch-consolidation work, and the boundary-as-watcher-triple paradigm decision — picking it up will likely surface more refs as those threads converge through the daemon as the substrate. Parked deliberately for later; not blocking, but the ops/cleanliness frame and the next paradigm work both pass through here.
documentation-obeys-model                               mid     2   0  2026-06-12  parked · Parked at reconcile 2026-06-12 — real but no near-term pull. Reopen on live need.
identity-as-kaleidoscope                                mid     2   0  2026-06-12  parked · Parked at reconcile 2026-06-12 — real but no near-term pull. Reopen on live need.
loops-as-skill-instructions                             mid     2   0  2026-06-12  parked · Parked at reconcile 2026-06-12 — real but no near-term pull. Reopen on live need.
harness-emission-shape                                  mid     2   0  2026-05-10  resolved · Sharpened 2026-05-10 with Kyle: split into query-run + query-comparison as separate collect-style kinds on coupling-kernels vertex. Recipe-hash for spec identity, binding fields separate (different snapshots aren't comparable). Artifacts referenced via existing CachedEmbedder cache path — the cache IS the sidecar, content-addressed by spec_hash; no parallel artifact store invented. Components inline for cheap comparison-without-replay. Comparisons ref runs via existing ref machinery — cluster lineage chain becomes queryable via the ref graph with no new mechanism. See decisions design/coupling-kernels-emission-shape, design/query-run-fact, design/query-comparison-fact.
config-reference-drift                                  mid     2   0  2026-06-12  resolved · RESOLVED at reconcile 2026-06-12 — de-facto fixed via fix-candidate (1): ~/.config/loops/lenses/*.py are now symlinks into .loops/lenses/ (verified live today editing reconcile.py — cp refused, files identical). One source of truth; drift impossible by construction. Residue: experiments/config-reference/lenses/ deletion orphaned a test, tracked at friction:loops-test-suite-broken-on-main.
vouch-event-vs-origin-modeling                          mid     2   0  2026-06-12  parked · Parked at reconcile 2026-06-12 (vouch consolidation): the enterprise arc lives in the agent-attestation vertex + the 5-doc package under team review. Loops-side umbrella is thread:peer-grant-recast-via-vouch — reopen from there when vouch usage surfaces what Peer/Grant need.
cross-adapter-review-pattern-codification               mid     2   0  2026-06-12  parked · Parked at reconcile 2026-06-12 — real but no near-term pull. Reopen on live need.
vouch-bounded-substrate-rollout                         mid     2   0  2026-06-12  parked · Parked at reconcile 2026-06-12 (vouch consolidation): the enterprise arc lives in the agent-attestation vertex + the 5-doc package under team review. Loops-side umbrella is thread:peer-grant-recast-via-vouch — reopen from there when vouch usage surfaces what Peer/Grant need.
cite-and-diff-as-lifecycle-pair                         mid     2   0  2026-06-12  resolved · Merged into thread:trace-diff-rendering-shape at reconcile 2026-06-12 — lifecycle-diff (same fold-key across emissions) IS shape (b) of that thread's fork; cite-side is already shipped. One design conversation, not two.
feature-correlation-as-attribution-gap                  mid     2   0  2026-06-12  resolved · RESOLVED at reconcile 2026-06-12 — the asked-for convention exists: CLAUDE.md 'Correlation fields' section defines feature=<branch-or-arc-name> and ops=<operational-arc>, with the thread-vs-attribution distinction this thread proposed ('threads carry the conversation; correlation fields carry the attribution'). The InferiorMinion-inspired gap closed by adoption.
extract-loops-core-cleanly                              mid     2   0  2026-06-12  parked · Parked at reconcile 2026-06-12 — real but no near-term pull. Reopen on live need.
session-start-discipline-metrics                        mid     2   0  2026-05-16  resolved · Resolved as thread, re-emitted as friction kind. Tracking continues under friction backlog.
nudge-hooks-on-user-prompt                              mid     2   0  2026-05-16  resolved · Resolved as thread, re-emitted as friction kind. Tracking continues under friction backlog.
operator-ir-from-siftd-status                           mid     1   1  2026-05-16  open · Kyle referenced introducing Operator IR from siftd as something that was supposed to help with store-review pain. Question: what did we actually ship from that, is it in current main, does it help with the painted-overreach pain? Need: trace the relevant commits, confirm whether the IR is in the read path, evaluate whether further extraction would close the browse-frequent gap. Pre-req for painted-overreach-review scope decision.
trace-in-identity-prompt                                mid     2   0  2026-05-16  parked · Parked 2026-05-16: D pre-check failed. 'sl trace identity observation/practice/ --diff --since 7d' covers 14 entities, each single-fact (one observation = one emit pattern in this kind). --diff value-add is multi-fact lifecycles; this is just rendering observations in ASC time order with full message bodies = walls of text, no better than current 'Recent observations' fold render. Need to rethink shape. Candidates for next session: (a) --refs on a specific recently-pulled topic (concept-chain reading), (b) trace identity DECISIONS instead of observations (decisions get refined across sessions, multi-fact), (c) --since narrower + --kind specific to a topic. Right answer not obvious from current view; advisor's caution holds — better to ship C alone than ship D as walls-of-text. Re-enter with Kyle for design conversation on D's real shape.
ref-vs-trace-separator-alignment                        mid     2   0  2026-06-12  resolved · Merged into thread:typed-refs-redesign at reconcile 2026-06-12 — Ref(kind, key) as typed dataclass makes the separator a serialization detail; the alignment question dissolves into the redesign.
next-session-handoff                                    mid     2   0  2026-06-12  resolved · RESOLVED at reconcile 2026-06-12 — stale handoff note. The 2026-05-17 follow-up session happened: merged state smoke-tested, v0.3.x work proceeded (trace-ergonomics thread carries the deferred release gate). Handoff consumed.
